group_id,member_track_ids,size,child_present,coverage,majority_class,weighted_cascade,kmodes,window_start_s,window_end_s
25,"[45, 51, 53]",3,False,1.0,Casual-Adult,Neutral-Fallback,Casual-Adult,15.0,45.0
26,[65],1,False,1.0,Casual-Adult,Casual-Adult,Casual-Adult,15.0,45.0
27,[88],1,False,0.0,Neutral-Fallback,Neutral-Fallback,Neutral-Fallback,15.0,45.0
0,[62],1,False,0.0,Neutral-Fallback,Neutral-Fallback,Neutral-Fallback,30.0,60.0
1,[76],1,False,0.0,Neutral-Fallback,Neutral-Fallback,Neutral-Fallback,30.0,60.0
2,[106],1,False,1.0,Casual-Adult,Casual-Adult,Casual-Adult,30.0,60.0
3,[56],1,False,1.0,Neutral-Fallback,Teen/Sportswear,Neutral-Fallback,30.0,60.0
4,[66],1,False,1.0,Casual-Adult,Casual-Adult,Casual-Adult,30.0,60.0
5,[89],1,False,0.0,Neutral-Fallback,Neutral-Fallback,Neutral-Fallback,30.0,60.0
6,[57],1,False,0.0,Neutral-Fallback,Neutral-Fallback,Neutral-Fallback,30.0,60.0
7,[120],1,False,1.0,Casual-Adult,Casual-Adult,Casual-Adult,30.0,60.0
8,[108],1,False,0.0,Neutral-Fallback,Neutral-Fallback,Neutral-Fallback,30.0,60.0
9,[117],1,False,0.0,Neutral-Fallback,Neutral-Fallback,Neutral-Fallback,30.0,60.0
10,[79],1,False,1.0,Casual-Adult,Casual-Adult,Casual-Adult,30.0,60.0
11,[81],1,False,1.0,Neutral-Fallback,Formal-Adult,Casual-Adult,30.0,60.0
12,[94],1,False,1.0,Casual-Adult,Casual-Adult,Casual-Adult,30.0,60.0
13,[111],1,False,0.0,Neutral-Fallback,Neutral-Fallback,Neutral-Fallback,30.0,60.0
14,[73],1,False,0.0,Neutral-Fallback,Neutral-Fallback,Neutral-Fallback,30.0,60.0
15,[90],1,False,0.0,Neutral-Fallback,Neutral-Fallback,Neutral-Fallback,30.0,60.0
16,[122],1,False,1.0,Casual-Adult,Casual-Adult,Casual-Adult,30.0,60.0
17,"[55, 64]",2,False,1.0,Casual-Adult,Neutral-Fallback,Casual-Adult,30.0,60.0
18,[92],1,False,0.0,Neutral-Fallback,Neutral-Fallback,Neutral-Fallback,30.0,60.0
19,[114],1,False,1.0,Neutral-Fallback,Teen/Sportswear,Neutral-Fallback,30.0,60.0
20,[58],1,False,0.0,Neutral-Fallback,Neutral-Fallback,Neutral-Fallback,30.0,60.0
21,[101],1,False,0.0,Neutral-Fallback,Neutral-Fallback,Neutral-Fallback,30.0,60.0
22,[61],1,False,0.0,Neutral-Fallback,Neutral-Fallback,Neutral-Fallback,30.0,60.0
23,[83],1,False,0.0,Neutral-Fallback,Neutral-Fallback,Neutral-Fallback,30.0,60.0
24,[113],1,False,0.0,Neutral-Fallback,Neutral-Fallback,Neutral-Fallback,30.0,60.0
25,[112],1,False,0.0,Neutral-Fallback,Neutral-Fallback,Neutral-Fallback,30.0,60.0
26,[103],1,False,0.0,Neutral-Fallback,Neutral-Fallback,Neutral-Fallback,30.0,60.0
27,[118],1,False,0.0,Neutral-Fallback,Neutral-Fallback,Neutral-Fallback,30.0,60.0
28,[63],1,False,0.0,Neutral-Fallback,Neutral-Fallback,Neutral-Fallback,30.0,60.0
29,[60],1,False,1.0,Casual-Adult,Casual-Adult,Casual-Adult,30.0,60.0
30,[107],1,False,0.0,Neutral-Fallback,Neutral-Fallback,Neutral-Fallback,30.0,60.0
31,[59],1,False,0.0,Neutral-Fallback,Neutral-Fallback,Neutral-Fallback,30.0,60.0
32,[80],1,False,0.0,Neutral-Fallback,Neutral-Fallback,Neutral-Fallback,30.0,60.0
33,[87],1,False,1.0,Neutral-Fallback,Casual-Adult,Casual-Adult,30.0,60.0
34,[125],1,False,0.0,Neutral-Fallback,Neutral-Fallback,Neutral-Fallback,30.0,60.0
35,[100],1,False,0.0,Neutral-Fallback,Neutral-Fallback,Neutral-Fallback,30.0,60.0
36,[104],1,False,1.0,Casual-Adult,Casual-Adult,Casual-Adult,30.0,60.0
37,[126],1,False,0.0,Neutral-Fallback,Neutral-Fallback,Neutral-Fallback,30.0,60.0
38,[102],1,False,0.0,Neutral-Fallback,Neutral-Fallback,Neutral-Fallback,30.0,60.0
39,[65],1,False,1.0,Casual-Adult,Casual-Adult,Casual-Adult,30.0,60.0
40,[88],1,False,0.0,Neutral-Fallback,Neutral-Fallback,Neutral-Fallback,30.0,60.0
41,[98],1,False,0.0,Neutral-Fallback,Neutral-Fallback,Neutral-Fallback,30.0,60.0
0,[106],1,False,1.0,Casual-Adult,Casual-Adult,Casual-Adult,45.0,75.0
1,[56],1,False,1.0,Neutral-Fallback,Teen/Sportswear,Neutral-Fallback,45.0,75.0
2,[66],1,False,1.0,Casual-Adult,Casual-Adult,Casual-Adult,45.0,75.0
3,[145],1,False,0.0,Neutral-Fallback,Neutral-Fallback,Neutral-Fallback,45.0,75.0
4,[57],1,False,0.0,Neutral-Fallback,Neutral-Fallback,Neutral-Fallback,45.0,75.0
5,[158],1,False,0.0,Neutral-Fallback,Neutral-Fallback,Neutral-Fallback,45.0,75.0
6,[120],1,False,1.0,Casual-Adult,Casual-Adult,Casual-Adult,45.0,75.0
7,[108],1,False,0.0,Neutral-Fallback,Neutral-Fallback,Neutral-Fallback,45.0,75.0
8,[160],1,False,0.0,Neutral-Fallback,Neutral-Fallback,Neutral-Fallback,45.0,75.0
9,[117],1,False,0.0,Neutral-Fallback,Neutral-Fallback,Neutral-Fallback,45.0,75.0
10,[79],1,False,1.0,Casual-Adult,Casual-Adult,Casual-Adult,45.0,75.0
11,[150],1,False,0.0,Neutral-Fallback,Neutral-Fallback,Neutral-Fallback,45.0,75.0
12,[94],1,False,1.0,Casual-Adult,Casual-Adult,Casual-Adult,45.0,75.0
13,[111],1,False,0.0,Neutral-Fallback,Neutral-Fallback,Neutral-Fallback,45.0,75.0
14,[147],1,False,1.0,Casual-Adult,Casual-Adult,Casual-Adult,45.0,75.0
15,[90],1,False,0.0,Neutral-Fallback,Neutral-Fallback,Neutral-Fallback,45.0,75.0
16,[177],1,False,0.0,Neutral-Fallback,Neutral-Fallback,Neutral-Fallback,45.0,75.0
17,[122],1,False,1.0,Casual-Adult,Casual-Adult,Casual-Adult,45.0,75.0
18,[149],1,False,1.0,Casual-Adult,Casual-Adult,Casual-Adult,45.0,75.0
19,"[55, 64]",2,False,1.0,Casual-Adult,Neutral-Fallback,Casual-Adult,45.0,75.0
20,[92],1,False,0.0,Neutral-Fallback,Neutral-Fallback,Neutral-Fallback,45.0,75.0
21,[114],1,False,1.0,Neutral-Fallback,Teen/Sportswear,Neutral-Fallback,45.0,75.0
22,[175],1,False,0.0,Neutral-Fallback,Neutral-Fallback,Neutral-Fallback,45.0,75.0
23,[101],1,False,0.0,Neutral-Fallback,Neutral-Fallback,Neutral-Fallback,45.0,75.0
24,[172],1,False,0.0,Neutral-Fallback,Neutral-Fallback,Neutral-Fallback,45.0,75.0
25,[61],1,False,0.0,Neutral-Fallback,Neutral-Fallback,Neutral-Fallback,45.0,75.0
26,[135],1,False,1.0,Casual-Adult,Casual-Adult,Casual-Adult,45.0,75.0
27,[132],1,False,0.0,Neutral-Fallback,Neutral-Fallback,Neutral-Fallback,45.0,75.0
28,[113],1,False,0.0,Neutral-Fallback,Neutral-Fallback,Neutral-Fallback,45.0,75.0
29,[136],1,False,0.0,Neutral-Fallback,Neutral-Fallback,Neutral-Fallback,45.0,75.0
30,[112],1,False,0.0,Neutral-Fallback,Neutral-Fallback,Neutral-Fallback,45.0,75.0
31,[103],1,False,0.0,Neutral-Fallback,Neutral-Fallback,Neutral-Fallback,45.0,75.0
32,[137],1,False,1.0,Casual-Adult,Casual-Adult,Casual-Adult,45.0,75.0
33,[118],1,False,0.0,Neutral-Fallback,Neutral-Fallback,Neutral-Fallback,45.0,75.0
34,[107],1,False,0.0,Neutral-Fallback,Neutral-Fallback,Neutral-Fallback,45.0,75.0
35,[157],1,False,1.0,Casual-Adult,Casual-Adult,Casual-Adult,45.0,75.0
36,[59],1,False,0.0,Neutral-Fallback,Neutral-Fallback,Neutral-Fallback,45.0,75.0
37,[140],1,False,0.0,Neutral-Fallback,Neutral-Fallback,Neutral-Fallback,45.0,75.0
38,[125],1,False,0.0,Neutral-Fallback,Neutral-Fallback,Neutral-Fallback,45.0,75.0
39,[169],1,False,0.0,Neutral-Fallback,Neutral-Fallback,Neutral-Fallback,45.0,75.0
40,[144],1,False,0.0,Neutral-Fallback,Neutral-Fallback,Neutral-Fallback,45.0,75.0
41,[100],1,False,0.0,Neutral-Fallback,Neutral-Fallback,Neutral-Fallback,45.0,75.0
42,[134],1,False,1.0,Casual-Adult,Casual-Adult,Casual-Adult,45.0,75.0
43,[104],1,False,1.0,Casual-Adult,Casual-Adult,Casual-Adult,45.0,75.0
44,[126],1,False,0.0,Neutral-Fallback,Neutral-Fallback,Neutral-Fallback,45.0,75.0
45,[133],1,False,1.0,Casual-Adult,Casual-Adult,Casual-Adult,45.0,75.0
46,[102],1,False,0.0,Neutral-Fallback,Neutral-Fallback,Neutral-Fallback,45.0,75.0
47,[176],1,False,0.0,Neutral-Fallback,Neutral-Fallback,Neutral-Fallback,45.0,75.0
48,[174],1,False,1.0,Casual-Adult,Casual-Adult,Casual-Adult,45.0,75.0
49,[155],1,False,0.0,Neutral-Fallback,Neutral-Fallback,Neutral-Fallback,45.0,75.0
50,[65],1,False,1.0,Casual-Adult,Casual-Adult,Casual-Adult,45.0,75.0
51,[88],1,False,0.0,Neutral-Fallback,Neutral-Fallback,Neutral-Fallback,45.0,75.0
52,[98],1,False,0.0,Neutral-Fallback,Neutral-Fallback,Neutral-Fallback,45.0,75.0
53,[152],1,False,0.0,Neutral-Fallback,Neutral-Fallback,Neutral-Fallback,45.0,75.0
54,[173],1,False,0.0,Neutral-Fallback,Neutral-Fallback,Neutral-Fallback,45.0,75.0
0,"[120, 181, 204]",3,False,0.33,Casual-Adult,Casual-Adult,Casual-Adult,60.0,90.0
1,[198],1,False,1.0,Neutral-Fallback,Formal-Adult,Casual-Adult,60.0,90.0
2,[106],1,False,1.0,Casual-Adult,Casual-Adult,Casual-Adult,60.0,90.0
3,[184],1,False,0.0,Neutral-Fallback,Neutral-Fallback,Neutral-Fallback,60.0,90.0
4,[66],1,False,1.0,Casual-Adult,Casual-Adult,Casual-Adult,60.0,90.0
5,[145],1,False,0.0,Neutral-Fallback,Neutral-Fallback,Neutral-Fallback,60.0,90.0
6,[212],1,False,1.0,Neutral-Fallback,Teen/Sportswear,Neutral-Fallback,60.0,90.0
7,[57],1,False,0.0,Neutral-Fallback,Neutral-Fallback,Neutral-Fallback,60.0,90.0
8,[194],1,False,0.0,Neutral-Fallback,Neutral-Fallback,Neutral-Fallback,60.0,90.0
9,[158],1,False,0.0,Neutral-Fallback,Neutral-Fallback,Neutral-Fallback,60.0,90.0
10,[160],1,False,0.0,Neutral-Fallback,Neutral-Fallback,Neutral-Fallback,60.0,90.0
11,[108],1,False,0.0,Neutral-Fallback,Neutral-Fallback,Neutral-Fallback,60.0,90.0
12,[150],1,False,0.0,Neutral-Fallback,Neutral-Fallback,Neutral-Fallback,60.0,90.0
13,[147],1,False,1.0,Casual-Adult,Casual-Adult,Casual-Adult,60.0,90.0
14,[197],1,False,0.0,Neutral-Fallback,Neutral-Fallback,Neutral-Fallback,60.0,90.0
15,[177],1,False,0.0,Neutral-Fallback,Neutral-Fallback,Neutral-Fallback,60.0,90.0
16,[179],1,False,0.0,Neutral-Fallback,Neutral-Fallback,Neutral-Fallback,60.0,90.0
17,[149],1,False,1.0,Casual-Adult,Casual-Adult,Casual-Adult,60.0,90.0
18,[203],1,False,0.0,Neutral-Fallback,Neutral-Fallback,Neutral-Fallback,60.0,90.0
19,"[55, 64]",2,False,1.0,Casual-Adult,Neutral-Fallback,Casual-Adult,60.0,90.0
20,[114],1,False,1.0,Neutral-Fallback,Teen/Sportswear,Neutral-Fallback,60.0,90.0
21,[175],1,False,0.0,Neutral-Fallback,Neutral-Fallback,Neutral-Fallback,60.0,90.0
22,[172],1,False,0.0,Neutral-Fallback,Neutral-Fallback,Neutral-Fallback,60.0,90.0
23,[135],1,False,1.0,Casual-Adult,Casual-Adult,Casual-Adult,60.0,90.0
24,[202],1,False,1.0,Casual-Adult,Casual-Adult,Casual-Adult,60.0,90.0
25,[132],1,False,0.0,Neutral-Fallback,Neutral-Fallback,Neutral-Fallback,60.0,90.0
26,"[208, 211]",2,False,1.0,Neutral-Fallback,Formal-Adult,Casual-Adult,60.0,90.0
27,[195],1,False,1.0,Casual-Adult,Casual-Adult,Casual-Adult,60.0,90.0
28,[136],1,False,0.0,Neutral-Fallback,Neutral-Fallback,Neutral-Fallback,60.0,90.0
29,[137],1,False,1.0,Casual-Adult,Casual-Adult,Casual-Adult,60.0,90.0
30,[193],1,False,1.0,Casual-Adult,Casual-Adult,Casual-Adult,60.0,90.0
31,[157],1,False,1.0,Casual-Adult,Casual-Adult,Casual-Adult,60.0,90.0
32,[196],1,False,1.0,Casual-Adult,Casual-Adult,Casual-Adult,60.0,90.0
33,[140],1,False,0.0,Neutral-Fallback,Neutral-Fallback,Neutral-Fallback,60.0,90.0
34,[125],1,False,0.0,Neutral-Fallback,Neutral-Fallback,Neutral-Fallback,60.0,90.0
35,[169],1,False,0.0,Neutral-Fallback,Neutral-Fallback,Neutral-Fallback,60.0,90.0
36,[144],1,False,0.0,Neutral-Fallback,Neutral-Fallback,Neutral-Fallback,60.0,90.0
37,[209],1,False,1.0,Casual-Adult,Teen/Sportswear,Neutral-Fallback,60.0,90.0
38,[100],1,False,0.0,Neutral-Fallback,Neutral-Fallback,Neutral-Fallback,60.0,90.0
39,[134],1,False,1.0,Casual-Adult,Casual-Adult,Casual-Adult,60.0,90.0
40,[210],1,False,1.0,Neutral-Fallback,Formal-Adult,Neutral-Fallback,60.0,90.0
41,[191],1,False,1.0,Casual-Adult,Casual-Adult,Casual-Adult,60.0,90.0
42,[133],1,False,1.0,Casual-Adult,Casual-Adult,Casual-Adult,60.0,90.0
43,[176],1,False,0.0,Neutral-Fallback,Neutral-Fallback,Neutral-Fallback,60.0,90.0
44,[206],1,False,0.0,Neutral-Fallback,Neutral-Fallback,Neutral-Fallback,60.0,90.0
45,[174],1,False,1.0,Casual-Adult,Casual-Adult,Casual-Adult,60.0,90.0
46,[155],1,False,0.0,Neutral-Fallback,Neutral-Fallback,Neutral-Fallback,60.0,90.0
47,[187],1,False,1.0,Neutral-Fallback,Formal-Adult,Casual-Adult,60.0,90.0
48,[65],1,False,1.0,Casual-Adult,Casual-Adult,Casual-Adult,60.0,90.0
49,[152],1,False,0.0,Neutral-Fallback,Neutral-Fallback,Neutral-Fallback,60.0,90.0
50,[214],1,False,0.0,Neutral-Fallback,Neutral-Fallback,Neutral-Fallback,60.0,90.0
51,[173],1,False,0.0,Neutral-Fallback,Neutral-Fallback,Neutral-Fallback,60.0,90.0
52,[180],1,False,0.0,Neutral-Fallback,Neutral-Fallback,Neutral-Fallback,60.0,90.0
0,[232],1,False,0.0,Neutral-Fallback,Neutral-Fallback,Neutral-Fallback,75.0,105.0
1,"[120, 181, 204]",3,False,0.33,Casual-Adult,Casual-Adult,Casual-Adult,75.0,105.0
2,[198],1,False,1.0,Neutral-Fallback,Formal-Adult,Casual-Adult,75.0,105.0
3,[212],1,False,1.0,Neutral-Fallback,Teen/Sportswear,Neutral-Fallback,75.0,105.0
4,[184],1,False,0.0,Neutral-Fallback,Neutral-Fallback,Neutral-Fallback,75.0,105.0
5,[66],1,False,1.0,Casual-Adult,Casual-Adult,Casual-Adult,75.0,105.0
6,[231],1,False,0.0,Neutral-Fallback,Neutral-Fallback,Neutral-Fallback,75.0,105.0
7,[57],1,False,0.0,Neutral-Fallback,Neutral-Fallback,Neutral-Fallback,75.0,105.0
8,[194],1,False,0.0,Neutral-Fallback,Neutral-Fallback,Neutral-Fallback,75.0,105.0
9,[237],1,False,1.0,Casual-Adult,Casual-Adult,Casual-Adult,75.0,105.0
10,[242],1,False,0.0,Neutral-Fallback,Neutral-Fallback,Neutral-Fallback,75.0,105.0
11,[215],1,False,0.0,Neutral-Fallback,Neutral-Fallback,Neutral-Fallback,75.0,105.0
12,[220],1,False,0.0,Neutral-Fallback,Neutral-Fallback,Neutral-Fallback,75.0,105.0
13,[197],1,False,0.0,Neutral-Fallback,Neutral-Fallback,Neutral-Fallback,75.0,105.0
14,[243],1,False,1.0,Casual-Adult,Casual-Adult,Casual-Adult,75.0,105.0
15,[177],1,False,0.0,Neutral-Fallback,Neutral-Fallback,Neutral-Fallback,75.0,105.0
16,[179],1,False,0.0,Neutral-Fallback,Neutral-Fallback,Neutral-Fallback,75.0,105.0
17,[203],1,False,0.0,Neutral-Fallback,Neutral-Fallback,Neutral-Fallback,75.0,105.0
18,"[55, 64]",2,False,1.0,Casual-Adult,Neutral-Fallback,Casual-Adult,75.0,105.0
19,[233],1,False,0.0,Neutral-Fallback,Neutral-Fallback,Neutral-Fallback,75.0,105.0
20,[216],1,False,1.0,Neutral-Fallback,Teen/Sportswear,Neutral-Fallback,75.0,105.0
21,[229],1,False,0.0,Neutral-Fallback,Neutral-Fallback,Neutral-Fallback,75.0,105.0
22,[114],1,False,1.0,Neutral-Fallback,Teen/Sportswear,Neutral-Fallback,75.0,105.0
23,[175],1,False,0.0,Neutral-Fallback,Neutral-Fallback,Neutral-Fallback,75.0,105.0
24,[227],1,False,1.0,Casual-Adult,Teen/Sportswear,Casual-Adult,75.0,105.0
25,[202],1,False,1.0,Casual-Adult,Casual-Adult,Casual-Adult,75.0,105.0
26,"[208, 211]",2,False,1.0,Neutral-Fallback,Formal-Adult,Casual-Adult,75.0,105.0
27,[195],1,False,1.0,Casual-Adult,Casual-Adult,Casual-Adult,75.0,105.0
28,[234],1,False,0.0,Neutral-Fallback,Neutral-Fallback,Neutral-Fallback,75.0,105.0
29,"[209, 210, 218]",3,True,1.0,Neutral-Fallback,Family/Child-safe,Family/Child-safe,75.0,105.0
30,[193],1,False,1.0,Casual-Adult,Casual-Adult,Casual-Adult,75.0,105.0
31,[196],1,False,1.0,Casual-Adult,Casual-Adult,Casual-Adult,75.0,105.0
32,[241],1,False,1.0,Casual-Adult,Casual-Adult,Casual-Adult,75.0,105.0
33,[125],1,False,0.0,Neutral-Fallback,Neutral-Fallback,Neutral-Fallback,75.0,105.0
34,[224],1,False,0.0,Neutral-Fallback,Neutral-Fallback,Neutral-Fallback,75.0,105.0
35,[191],1,False,1.0,Casual-Adult,Casual-Adult,Casual-Adult,75.0,105.0
36,[176],1,False,0.0,Neutral-Fallback,Neutral-Fallback,Neutral-Fallback,75.0,105.0
37,[206],1,False,0.0,Neutral-Fallback,Neutral-Fallback,Neutral-Fallback,75.0,105.0
38,[174],1,False,1.0,Casual-Adult,Casual-Adult,Casual-Adult,75.0,105.0
39,[187],1,False,1.0,Neutral-Fallback,Formal-Adult,Casual-Adult,75.0,105.0
40,[65],1,False,1.0,Casual-Adult,Casual-Adult,Casual-Adult,75.0,105.0
41,[239],1,False,0.0,Neutral-Fallback,Neutral-Fallback,Neutral-Fallback,75.0,105.0
42,[222],1,False,0.0,Neutral-Fallback,Neutral-Fallback,Neutral-Fallback,75.0,105.0
43,[214],1,False,0.0,Neutral-Fallback,Neutral-Fallback,Neutral-Fallback,75.0,105.0
44,[180],1,False,0.0,Neutral-Fallback,Neutral-Fallback,Neutral-Fallback,75.0,105.0
0,[232],1,False,0.0,Neutral-Fallback,Neutral-Fallback,Neutral-Fallback,90.0,120.0
1,[248],1,False,1.0,Casual-Adult,Casual-Adult,Casual-Adult,90.0,120.0
2,[231],1,False,0.0,Neutral-Fallback,Neutral-Fallback,Neutral-Fallback,90.0,120.0
3,[212],1,False,1.0,Neutral-Fallback,Teen/Sportswear,Neutral-Fallback,90.0,120.0
4,[242],1,False,0.0,Neutral-Fallback,Neutral-Fallback,Neutral-Fallback,90.0,120.0
5,[237],1,False,1.0,Casual-Adult,Casual-Adult,Casual-Adult,90.0,120.0
6,[251],1,False,0.0,Neutral-Fallback,Neutral-Fallback,Neutral-Fallback,90.0,120.0
7,[258],1,False,1.0,Neutral-Fallback,Formal-Adult,Neutral-Fallback,90.0,120.0
8,[215],1,False,0.0,Neutral-Fallback,Neutral-Fallback,Neutral-Fallback,90.0,120.0
9,[220],1,False,0.0,Neutral-Fallback,Neutral-Fallback,Neutral-Fallback,90.0,120.0
10,[252],1,False,1.0,Casual-Adult,Casual-Adult,Casual-Adult,90.0,120.0
11,[243],1,False,1.0,Casual-Adult,Casual-Adult,Casual-Adult,90.0,120.0
12,[233],1,False,0.0,Neutral-Fallback,Neutral-Fallback,Neutral-Fallback,90.0,120.0
13,[216],1,False,1.0,Neutral-Fallback,Teen/Sportswear,Neutral-Fallback,90.0,120.0
14,[229],1,False,0.0,Neutral-Fallback,Neutral-Fallback,Neutral-Fallback,90.0,120.0
15,[227],1,False,1.0,Casual-Adult,Teen/Sportswear,Casual-Adult,90.0,120.0
16,"[208, 211]",2,False,1.0,Casual-Adult,Neutral-Fallback,Casual-Adult,90.0,120.0
17,[234],1,False,0.0,Neutral-Fallback,Neutral-Fallback,Neutral-Fallback,90.0,120.0
18,"[210, 218]",2,True,1.0,Neutral-Fallback,Family/Child-safe,Family/Child-safe,90.0,120.0
19,[253],1,False,0.0,Neutral-Fallback,Neutral-Fallback,Neutral-Fallback,90.0,120.0
20,[241],1,False,1.0,Casual-Adult,Casual-Adult,Casual-Adult,90.0,120.0
21,[209],1,False,1.0,Neutral-Fallback,Teen/Sportswear,Neutral-Fallback,90.0,120.0
22,[224],1,False,0.0,Neutral-Fallback,Neutral-Fallback,Neutral-Fallback,90.0,120.0
23,[249],1,False,1.0,Casual-Adult,Casual-Adult,Casual-Adult,90.0,120.0
24,[255],1,False,1.0,Casual-Adult,Casual-Adult,Neutral-Fallback,90.0,120.0
25,[239],1,False,0.0,Neutral-Fallback,Neutral-Fallback,Neutral-Fallback,90.0,120.0
26,[259],1,False,0.0,Neutral-Fallback,Neutral-Fallback,Neutral-Fallback,90.0,120.0
27,[222],1,False,0.0,Neutral-Fallback,Neutral-Fallback,Neutral-Fallback,90.0,120.0
0,[292],1,False,1.0,Casual-Adult,Casual-Adult,Casual-Adult,105.0,135.0
