track_id,has_attributes,Gender,Age,Body size,Viewpoint,Upper-body clothing,Lower-body clothing,Footwear,Head and accessories::Bald,Head and accessories::Long hair,Head and accessories::Black hair,Head and accessories::Hat,Head and accessories::Glasses,Head and accessories::Mask,Head and accessories::Helmet,Head and accessories::Scarf,Head and accessories::Gloves,Bags and carried objects::Backpack,Bags and carried objects::Shoulder bag,Bags and carried objects::Handbag,Bags and carried objects::Plastic bag,Bags and carried objects::Paper bag,Bags and carried objects::Suitcase,Bags and carried objects::Others,Activity::Making a phone call,Activity::Smoking,Activity::Hands behind back,Activity::Arms crossed,Posture and Movement::Walking,Posture and Movement::Running,Posture and Movement::Standing,Posture and Movement::Riding a bicycle,Posture and Movement::Riding an scooter,Posture and Movement::Riding a skateboard,cluster
41,True,Female,Adult,Normal,Back,Short sleeves,Trousers,Casual shoes,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,5
45,True,Male/Unknown,Adult,Normal,Front,Short sleeves,Dress,Unknown,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,3
49,True,Female,Adult,Normal,Back,Short sleeves,Trousers,Unknown,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,5
51,True,Female,Adult,Normal,Back,Long sleeves,Trousers,Unknown,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,5
53,True,Female,Adult,Normal,Back,Short sleeves,Trousers,Unknown,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,5
55,True,Male/Unknown,Adult,Normal,Back,Long sleeves,Trousers,Casual shoes,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,0
56,True,Male/Unknown,Adult,Normal,Side,Short sleeves,Shorts,Casual shoes,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,1
60,True,Male/Unknown,Adult,Normal,Front,Short sleeves,Unknown,Unknown,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,3
64,True,Female,Adult,Normal,Back,Short sleeves,Shorts,Casual shoes,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,1
65,True,Male/Unknown,Adult,Normal,Back,Short sleeves,Trousers,Casual shoes,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,0
66,True,Female,Adult,Normal,Back,Long sleeves,Trousers,Unknown,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,5
79,True,Male/Unknown,Adult,Normal,Side,Vest,Trousers,Unknown,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,0
81,True,Male/Unknown,Adult,Normal,Back,Long sleeves,Dress,Casual shoes,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,0
87,True,Male/Unknown,Adult,Normal,Back,Jacket,Trousers,Casual shoes,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,0
94,True,Male/Unknown,Adult,Normal,Side,Long sleeves,Trousers,Casual shoes,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,0
104,True,Male/Unknown,Adult,Normal,Side,Long sleeves,Trousers,Casual shoes,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,0
106,True,Male/Unknown,Adult,Normal,Front,Unknown,Trousers,Unknown,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,3
114,True,Male/Unknown,Adult,Normal,Back,Short sleeves,Shorts,Casual shoes,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,1
120,True,Male/Unknown,Adult,Normal,Back,Long sleeves,Trousers,Casual shoes,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,0
122,True,Male/Unknown,Adult,Normal,Side,Long sleeves,Trousers,Casual shoes,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,0
133,True,Male/Unknown,Adult,Normal,Side,Shirt,Trousers,Unknown,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,0
134,True,Male/Unknown,Adult,Normal,Side,Long sleeves,Trousers,Casual shoes,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,0
135,True,Female,Adult,Normal,Back,Long sleeves,Trousers,Unknown,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,5
137,True,Male/Unknown,Adult,Normal,Side,Short sleeves,Trousers,Unknown,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,3
147,True,Female,Adult,Normal,Back,Long sleeves,Trousers,Casual shoes,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,0
149,True,Male/Unknown,Adult,Normal,Back,Short sleeves,Trousers,Casual shoes,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,0
157,True,Female,Adult,Normal,Back,Short sleeves,Trousers,Unknown,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,3
174,True,Male/Unknown,Adult,Normal,Side,Short sleeves,Trousers,Unknown,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,3
187,True,Male/Unknown,Adult,Normal,Back,Long sleeves,Dress,Casual shoes,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,0
191,True,Male/Unknown,Adult,Normal,Back,Short sleeves,Unknown,Unknown,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,3
193,True,Male/Unknown,Adult,Normal,Side,Chef uniform,Trousers,Unknown,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,3
195,True,Male/Unknown,Adult,Normal,Back,Long sleeves,Trousers,Casual shoes,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,0
196,True,Male/Unknown,Adult,Normal,Front,Short sleeves,Unknown,Unknown,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,3
198,True,Male/Unknown,Adult,Normal,Back,Long sleeves,Dress,Casual shoes,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,0
202,True,Female,Adult,Normal,Front,Short sleeves,Unknown,Unknown,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,3
208,True,Male/Unknown,Adult,Normal,Front,Shirt,Trousers,Casual shoes,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,0
209,True,Male/Unknown,Adult,Normal,Front,Short sleeves,Dress,Casual shoes,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,4
210,True,Male/Unknown,Adult,Normal,Back,Short sleeves,Dress,Casual shoes,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,4
211,True,Female,Adult,Normal,Front,Long sleeves,Dress,Casual shoes,False,True,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,2
212,True,Male/Unknown,Adult,Normal,Back,Short sleeves,Shorts,Casual shoes,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,1
216,True,Male/Unknown,Adult,Normal,Back,Short sleeves,Shorts,Casual shoes,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,1
218,True,Female,Adult,Normal,Back,Long sleeves,Trousers,Casual shoes,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,2
227,True,Male/Unknown,Adult,Normal,Back,Long sleeves,Trousers,Unknown,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,0
237,True,Female,Adult,Normal,Back,Long sleeves,Trousers,Unknown,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,5
241,True,Female,Adult,Normal,Back,Vest,Trousers,Casual shoes,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,5
243,True,Female,Adult,Normal,Back,Long sleeves,Trousers,Unknown,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,5
248,True,Female,Adult,Normal,Back,Long sleeves,Trousers,Unknown,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,5
249,True,Female,Adult,Normal,Back,Long sleeves,Trousers,Unknown,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,5
252,True,Female,Adult,Normal,Back,Vest,Trousers,Casual shoes,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,5
255,True,Male/Unknown,Adult,Normal,Back,Short sleeves,Unknown,Unknown,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,1
258,True,Female,Adult,Normal,Front,Short sleeves,Dress,Casual shoes,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,4
269,True,Male/Unknown,Adult,Normal,Back,Short sleeves,Dress,Casual shoes,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,4
272,True,Female,Adult,Normal,Front,Short sleeves,Trousers,Casual shoes,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,2
278,True,Male/Unknown,Adult,Normal,Back,Short sleeves,Shorts,Casual shoes,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,1
282,True,Female,Adult,Normal,Back,Long sleeves,Trousers,Casual shoes,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,2
284,True,Female,Adult,Normal,Back,Long sleeves,Trousers,Casual shoes,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,2
285,True,Male/Unknown,Adult,Normal,Front,Long sleeves,Trousers,Casual shoes,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,3
292,True,Female,Adult,Normal,Front,Long sleeves,Unknown,Unknown,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2
301,True,Female,Adult,Normal,Front,Long sleeves,Trousers,Casual shoes,False,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,2
305,True,Male/Unknown,Adult,Normal,Back,Short sleeves,Shorts,Sandals,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,1
310,True,Male/Unknown,Adult,Normal,Front,Long sleeves,Trousers,Casual shoes,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,0
313,True,Male/Unknown,Adult,Normal,Back,Short sleeves,Trousers,Casual shoes,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,0
316,True,Female,Adult,Normal,Back,Short sleeves,Unknown,Unknown,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,1
317,True,Male/Unknown,Adult,Normal,Back,Long sleeves,Trousers,Casual shoes,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,0
318,True,Male/Unknown,Adult,Normal,Back,Short sleeves,Dress,Casual shoes,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,4
319,True,Female,Adult,Normal,Back,Long sleeves,Trousers,Casual shoes,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,2
322,True,Male/Unknown,Adult,Normal,Front,Vest,Shorts,Unknown,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,3
326,True,Male/Unknown,Adult,Normal,Front,Shirt,Trousers,Casual shoes,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,True,False,0
327,True,Female,Adult,Normal,Front,Vest,Trousers,Unknown,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,3
330,True,Female,Adult,Normal,Front,Long sleeves,Dress,Casual shoes,False,True,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,2
333,True,Male/Unknown,Adult,Normal,Side,Short sleeves,Dress,Casual shoes,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,4
336,True,Male/Unknown,Adult,Normal,Back,Short sleeves,Shorts,Casual shoes,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,1
338,True,Female,Adult,Normal,Back,Short sleeves,Dress,Unknown,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,4
339,True,Male/Unknown,Adult,Normal,Back,Short sleeves,Dress,Casual shoes,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,4
340,True,Male/Unknown,Unknown,Normal,Back,Short sleeves,Shorts,Unknown,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,1
343,True,Male/Unknown,Adult,Normal,Back,Long sleeves,Trousers,Casual shoes,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0
348,True,Male/Unknown,Adult,Normal,Side,Short sleeves,Shorts,Sandals,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,1
349,True,Female,Adult,Normal,Front,Short sleeves,Trousers,Casual shoes,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,3
351,True,Male/Unknown,Adult,Normal,Back,Short sleeves,Shorts,Casual shoes,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,1
361,True,Male/Unknown,Adult,Normal,Front,Long sleeves,Trousers,Casual shoes,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,0
362,True,Male/Unknown,Adult,Normal,Back,Long sleeves,Trousers,Casual shoes,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,0
366,True,Female,Adult,Normal,Front,Long sleeves,Dress,Casual shoes,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,2
368,True,Male/Unknown,Adult,Normal,Front,Short sleeves,Trousers,Unknown,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,3
372,True,Female,Adult,Thin,Side,Short sleeves,Dress,Casual shoes,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,4
373,True,Female,Adult,Normal,Back,Short sleeves,Trousers,Unknown,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,3
375,True,Male/Unknown,Adult,Normal,Back,Short sleeves,Dress,Casual shoes,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,4
377,True,Female,Adult,Normal,Front,Vest,Dress,Casual shoes,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,3
383,True,Female,Adult,Normal,Back,Long sleeves,Trousers,Casual shoes,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,2
385,True,Male/Unknown,Adult,Normal,Back,Short sleeves,Shorts,Casual shoes,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,1
389,True,Male/Unknown,Adult,Normal,Back,Long sleeves,Trousers,Unknown,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,0
390,True,Male/Unknown,Adult,Normal,Back,Short sleeves,Shorts,Casual shoes,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,1
391,True,Male/Unknown,Adult,Normal,Back,Long sleeves,Shorts,Casual shoes,False,False,True,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,0
401,True,Female,Child,Normal,Back,Long sleeves,Trousers,Unknown,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,5
404,True,Male/Unknown,Adult,Normal,Back,Vest,Trousers,Casual shoes,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,0
405,True,Male/Unknown,Adult,Normal,Back,Short sleeves,Shorts,Casual shoes,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,1
411,True,Female,Adult,Normal,Back,Short sleeves,Trousers,Unknown,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,5
412,True,Female,Adult,Normal,Back,Long sleeves,Trousers,Unknown,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,5
415,True,Male/Unknown,Adult,Normal,Front,Vest,Trousers,Casual shoes,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,0
421,True,Male/Unknown,Adult,Normal,Back,Short sleeves,Shorts,Casual shoes,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,1
423,True,Female,Adult,Normal,Back,Short sleeves,Dress,Casual shoes,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,4
427,True,Male/Unknown,Adult,Normal,Back,Short sleeves,Dress,Casual shoes,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,4
431,True,Female,Adult,Normal,Front,Short sleeves,Trousers,Casual shoes,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,2
434,True,Male/Unknown,Adult,Normal,Back,Short sleeves,Shorts,Casual shoes,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,1
437,True,Female,Adult,Normal,Back,Long sleeves,Trousers,Casual shoes,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,2
438,True,Female,Adult,Normal,Back,Long sleeves,Trousers,Casual shoes,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,0
439,True,Male/Unknown,Adult,Normal,Front,Long sleeves,Trousers,Casual shoes,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,3
447,True,Female,Adult,Normal,Front,Long sleeves,Unknown,Unknown,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2
449,True,Female,Adult,Normal,Front,Short sleeves,Trousers,Unknown,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,2
453,True,Female,Adult,Normal,Front,Long sleeves,Dress,Casual shoes,False,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,2
457,True,Male/Unknown,Adult,Normal,Back,Short sleeves,Shorts,Sandals,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,1
465,True,Male/Unknown,Adult,Normal,Front,Long sleeves,Trousers,Casual shoes,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,0
466,True,Male/Unknown,Adult,Normal,Back,Short sleeves,Trousers,Casual shoes,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,0
468,True,Female,Adult,Normal,Back,Unknown,Unknown,Unknown,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,5
469,True,Female,Adult,Normal,Back,Short sleeves,Shorts,Casual shoes,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,1
471,True,Male/Unknown,Adult,Normal,Side,Short sleeves,Shorts,Casual shoes,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,1
474,True,Female,Adult,Normal,Back,Long sleeves,Trousers,Casual shoes,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,0
475,True,Male/Unknown,Adult,Normal,Front,Short sleeves,Trousers,Casual shoes,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,3
476,True,Male/Unknown,Adult,Normal,Back,Short sleeves,Shorts,Casual shoes,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,1
477,True,Female,Adult,Normal,Back,Long sleeves,Dress,Casual shoes,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,0
478,True,Female,Adult,Normal,Front,Short sleeves,Trousers,Casual shoes,False,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,2
479,True,Male/Unknown,Adult,Normal,Front,Short sleeves,Trousers,Casual shoes,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,0
480,True,Female,Adult,Normal,Front,Long sleeves,Trousers,Casual shoes,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,2
481,True,Male/Unknown,Adult,Normal,Back,Short sleeves,Trousers,Unknown,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,0
482,True,Male/Unknown,Adult,Normal,Back,Short sleeves,Shorts,Casual shoes,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,1
486,True,Female,Adult,Normal,Side,Short sleeves,Trousers,Casual shoes,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,2
489,True,Female,Adult,Normal,Front,Short sleeves,Unknown,Unknown,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,3
493,True,Male/Unknown,Adult,Normal,Back,Long sleeves,Trousers,Casual shoes,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,0
494,True,Female,Adult,Normal,Front,Jacket,Trousers,Unknown,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,3
500,True,Male/Unknown,Adult,Normal,Back,Short sleeves,Shorts,Casual shoes,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,1
505,True,Female,Adult,Normal,Back,Long sleeves,Dress,Casual shoes,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,2
