group_id,size,child_present,coverage,majority_class,weighted_cascade,kmodes
42,1,False,0.0,Neutral-Fallback,Neutral-Fallback,Neutral-Fallback
43,1,False,0.0,Neutral-Fallback,Neutral-Fallback,Neutral-Fallback
44,1,False,0.0,Neutral-Fallback,Neutral-Fallback,Neutral-Fallback
45,1,False,1.0,Casual-Adult,Casual-Adult,Casual-Adult
46,1,False,1.0,Casual-Adult,Casual-Adult,Casual-Adult
47,1,False,0.0,Neutral-Fallback,Neutral-Fallback,Neutral-Fallback
48,1,False,0.0,Neutral-Fallback,Neutral-Fallback,Neutral-Fallback
49,1,False,0.0,Neutral-Fallback,Neutral-Fallback,Neutral-Fallback
50,1,False,0.0,Neutral-Fallback,Neutral-Fallback,Neutral-Fallback
51,1,False,0.0,Neutral-Fallback,Neutral-Fallback,Neutral-Fallback
52,1,False,1.0,Neutral-Fallback,Teen/Sportswear,Neutral-Fallback
53,1,False,0.0,Neutral-Fallback,Neutral-Fallback,Neutral-Fallback
54,1,False,0.0,Neutral-Fallback,Neutral-Fallback,Neutral-Fallback
55,3,False,0.33,Casual-Adult,Casual-Adult,Casual-Adult
56,1,False,1.0,Casual-Adult,Casual-Adult,Casual-Adult
57,1,False,0.0,Neutral-Fallback,Neutral-Fallback,Neutral-Fallback
58,1,False,0.0,Neutral-Fallback,Neutral-Fallback,Neutral-Fallback
59,1,False,0.0,Neutral-Fallback,Neutral-Fallback,Neutral-Fallback
60,1,False,1.0,Casual-Adult,Casual-Adult,Casual-Adult
61,1,False,1.0,Casual-Adult,Casual-Adult,Casual-Adult
62,1,False,1.0,Casual-Adult,Casual-Adult,Casual-Adult
63,1,False,0.0,Neutral-Fallback,Neutral-Fallback,Neutral-Fallback
64,1,False,1.0,Casual-Adult,Casual-Adult,Casual-Adult
65,1,False,0.0,Neutral-Fallback,Neutral-Fallback,Neutral-Fallback
66,1,False,0.0,Neutral-Fallback,Neutral-Fallback,Neutral-Fallback
67,1,False,0.0,Neutral-Fallback,Neutral-Fallback,Neutral-Fallback
68,1,False,1.0,Casual-Adult,Casual-Adult,Casual-Adult
69,1,False,1.0,Casual-Adult,Casual-Adult,Casual-Adult
70,1,False,0.0,Neutral-Fallback,Neutral-Fallback,Neutral-Fallback
71,1,False,0.0,Neutral-Fallback,Neutral-Fallback,Neutral-Fallback
72,1,False,0.0,Neutral-Fallback,Neutral-Fallback,Neutral-Fallback
73,1,False,1.0,Casual-Adult,Casual-Adult,Casual-Adult
74,1,False,0.0,Neutral-Fallback,Neutral-Fallback,Neutral-Fallback
75,1,False,0.0,Neutral-Fallback,Neutral-Fallback,Neutral-Fallback
76,1,False,0.0,Neutral-Fallback,Neutral-Fallback,Neutral-Fallback
77,1,False,0.0,Neutral-Fallback,Neutral-Fallback,Neutral-Fallback
78,1,False,0.0,Neutral-Fallback,Neutral-Fallback,Neutral-Fallback
79,1,False,1.0,Casual-Adult,Casual-Adult,Casual-Adult
80,1,False,0.0,Neutral-Fallback,Neutral-Fallback,Neutral-Fallback
81,1,False,0.0,Neutral-Fallback,Neutral-Fallback,Neutral-Fallback
82,1,False,0.0,Neutral-Fallback,Neutral-Fallback,Neutral-Fallback
83,1,False,0.0,Neutral-Fallback,Neutral-Fallback,Neutral-Fallback
84,1,False,0.0,Neutral-Fallback,Neutral-Fallback,Neutral-Fallback
85,1,False,0.0,Neutral-Fallback,Neutral-Fallback,Neutral-Fallback
86,1,False,1.0,Neutral-Fallback,Formal-Adult,Casual-Adult
87,1,False,1.0,Casual-Adult,Casual-Adult,Casual-Adult
88,1,False,1.0,Casual-Adult,Casual-Adult,Casual-Adult
89,1,False,0.0,Neutral-Fallback,Neutral-Fallback,Neutral-Fallback
90,1,False,1.0,Casual-Adult,Casual-Adult,Casual-Adult
91,1,False,1.0,Casual-Adult,Casual-Adult,Casual-Adult
92,1,False,0.0,Neutral-Fallback,Neutral-Fallback,Neutral-Fallback
93,1,False,1.0,Neutral-Fallback,Formal-Adult,Casual-Adult
94,1,False,1.0,Casual-Adult,Casual-Adult,Casual-Adult
95,1,False,0.0,Neutral-Fallback,Neutral-Fallback,Neutral-Fallback
96,1,False,0.0,Neutral-Fallback,Neutral-Fallback,Neutral-Fallback
97,2,False,1.0,Casual-Adult,Teen/Sportswear,Casual-Adult
98,3,False,1.0,Casual-Adult,Neutral-Fallback,Neutral-Fallback
99,2,False,1.0,Neutral-Fallback,Neutral-Fallback,Neutral-Fallback
100,1,False,1.0,Neutral-Fallback,Teen/Sportswear,Neutral-Fallback
101,1,False,0.0,Neutral-Fallback,Neutral-Fallback,Neutral-Fallback
102,1,False,0.0,Neutral-Fallback,Neutral-Fallback,Neutral-Fallback
103,1,False,1.0,Neutral-Fallback,Teen/Sportswear,Neutral-Fallback
104,1,False,0.0,Neutral-Fallback,Neutral-Fallback,Neutral-Fallback
105,1,False,0.0,Neutral-Fallback,Neutral-Fallback,Neutral-Fallback
106,1,False,0.0,Neutral-Fallback,Neutral-Fallback,Neutral-Fallback
107,1,False,1.0,Casual-Adult,Teen/Sportswear,Casual-Adult
108,1,False,0.0,Neutral-Fallback,Neutral-Fallback,Neutral-Fallback
109,1,False,0.0,Neutral-Fallback,Neutral-Fallback,Neutral-Fallback
110,1,False,0.0,Neutral-Fallback,Neutral-Fallback,Neutral-Fallback
111,1,False,0.0,Neutral-Fallback,Neutral-Fallback,Neutral-Fallback
112,1,False,0.0,Neutral-Fallback,Neutral-Fallback,Neutral-Fallback
113,1,False,1.0,Casual-Adult,Casual-Adult,Casual-Adult
114,1,False,0.0,Neutral-Fallback,Neutral-Fallback,Neutral-Fallback
115,1,False,1.0,Casual-Adult,Casual-Adult,Casual-Adult
116,1,False,0.0,Neutral-Fallback,Neutral-Fallback,Neutral-Fallback
117,1,False,1.0,Casual-Adult,Casual-Adult,Casual-Adult
118,1,False,1.0,Casual-Adult,Casual-Adult,Casual-Adult
119,1,False,1.0,Casual-Adult,Casual-Adult,Casual-Adult
120,1,False,0.0,Neutral-Fallback,Neutral-Fallback,Neutral-Fallback
121,1,False,1.0,Casual-Adult,Casual-Adult,Casual-Adult
122,1,False,0.0,Neutral-Fallback,Neutral-Fallback,Neutral-Fallback
123,1,False,1.0,Casual-Adult,Casual-Adult,Neutral-Fallback
124,1,False,1.0,Neutral-Fallback,Formal-Adult,Neutral-Fallback
125,1,False,0.0,Neutral-Fallback,Neutral-Fallback,Neutral-Fallback
126,2,False,1.0,Neutral-Fallback,Neutral-Fallback,Neutral-Fallback
127,1,False,0.0,Neutral-Fallback,Neutral-Fallback,Neutral-Fallback
128,1,False,1.0,Casual-Adult,Casual-Adult,Casual-Adult
129,1,False,0.0,Neutral-Fallback,Neutral-Fallback,Neutral-Fallback
130,2,False,1.0,Neutral-Fallback,Neutral-Fallback,Neutral-Fallback
131,1,False,1.0,Casual-Adult,Casual-Adult,Casual-Adult
132,1,False,1.0,Casual-Adult,Casual-Adult,Casual-Adult
133,1,False,0.0,Neutral-Fallback,Neutral-Fallback,Neutral-Fallback
134,1,False,0.0,Neutral-Fallback,Neutral-Fallback,Neutral-Fallback
135,1,False,0.0,Neutral-Fallback,Neutral-Fallback,Neutral-Fallback
136,1,False,0.0,Neutral-Fallback,Neutral-Fallback,Neutral-Fallback
137,1,False,0.0,Neutral-Fallback,Neutral-Fallback,Neutral-Fallback
138,1,False,1.0,Neutral-Fallback,Teen/Sportswear,Neutral-Fallback
139,1,False,0.0,Neutral-Fallback,Neutral-Fallback,Neutral-Fallback
140,1,False,0.0,Neutral-Fallback,Neutral-Fallback,Neutral-Fallback
141,1,False,0.0,Neutral-Fallback,Neutral-Fallback,Neutral-Fallback
142,1,False,1.0,Casual-Adult,Casual-Adult,Casual-Adult
143,1,False,1.0,Casual-Adult,Casual-Adult,Neutral-Fallback
144,1,False,1.0,Casual-Adult,Teen/Sportswear,Casual-Adult
145,6,False,1.0,Neutral-Fallback,Neutral-Fallback,Casual-Adult
146,1,False,1.0,Teen/Sportswear,Teen/Sportswear,Casual-Adult
147,1,False,1.0,Casual-Adult,Casual-Adult,Casual-Adult
148,1,False,0.0,Neutral-Fallback,Neutral-Fallback,Neutral-Fallback
149,1,False,1.0,Neutral-Fallback,Formal-Adult,Neutral-Fallback
150,1,False,0.0,Neutral-Fallback,Neutral-Fallback,Neutral-Fallback
151,1,False,0.0,Neutral-Fallback,Neutral-Fallback,Neutral-Fallback
152,1,False,1.0,Neutral-Fallback,Teen/Sportswear,Neutral-Fallback
153,1,False,1.0,Neutral-Fallback,Teen/Sportswear,Neutral-Fallback
154,3,False,1.0,Neutral-Fallback,Formal-Adult,Neutral-Fallback
155,1,False,1.0,Neutral-Fallback,Teen/Sportswear,Neutral-Fallback
156,1,False,0.0,Neutral-Fallback,Neutral-Fallback,Neutral-Fallback
157,1,False,1.0,Casual-Adult,Casual-Adult,Casual-Adult
158,1,False,0.0,Neutral-Fallback,Neutral-Fallback,Neutral-Fallback
159,1,False,0.0,Neutral-Fallback,Neutral-Fallback,Neutral-Fallback
160,1,False,1.0,Neutral-Fallback,Teen/Sportswear,Neutral-Fallback
161,1,False,1.0,Casual-Adult,Casual-Adult,Casual-Adult
162,1,False,1.0,Neutral-Fallback,Teen/Sportswear,Neutral-Fallback
163,1,False,0.0,Neutral-Fallback,Neutral-Fallback,Neutral-Fallback
164,1,False,0.0,Neutral-Fallback,Neutral-Fallback,Neutral-Fallback
165,1,False,0.0,Neutral-Fallback,Neutral-Fallback,Neutral-Fallback
166,1,False,1.0,Casual-Adult,Teen/Sportswear,Casual-Adult
167,1,False,0.0,Neutral-Fallback,Neutral-Fallback,Neutral-Fallback
168,1,False,1.0,Casual-Adult,Casual-Adult,Casual-Adult
169,1,False,0.0,Neutral-Fallback,Neutral-Fallback,Neutral-Fallback
170,1,False,1.0,Neutral-Fallback,Formal-Adult,Neutral-Fallback
171,1,False,1.0,Casual-Adult,Casual-Adult,Casual-Adult
172,1,False,0.0,Neutral-Fallback,Neutral-Fallback,Neutral-Fallback
173,2,False,1.0,Neutral-Fallback,Neutral-Fallback,Neutral-Fallback
174,1,False,1.0,Neutral-Fallback,Formal-Adult,Casual-Adult
175,1,False,0.0,Neutral-Fallback,Neutral-Fallback,Neutral-Fallback
176,1,False,0.0,Neutral-Fallback,Neutral-Fallback,Neutral-Fallback
177,1,False,0.0,Neutral-Fallback,Neutral-Fallback,Neutral-Fallback
178,1,False,1.0,Neutral-Fallback,Teen/Sportswear,Neutral-Fallback
179,1,False,0.0,Neutral-Fallback,Neutral-Fallback,Neutral-Fallback
180,1,False,1.0,Casual-Adult,Teen/Sportswear,Casual-Adult
181,1,False,1.0,Neutral-Fallback,Teen/Sportswear,Neutral-Fallback
182,1,False,1.0,Neutral-Fallback,Teen/Sportswear,Casual-Adult
183,1,False,0.0,Neutral-Fallback,Neutral-Fallback,Neutral-Fallback
184,1,False,0.0,Neutral-Fallback,Neutral-Fallback,Neutral-Fallback
185,1,False,0.0,Neutral-Fallback,Neutral-Fallback,Neutral-Fallback
186,1,True,1.0,Casual-Adult,Family/Child-safe,Family/Child-safe
187,1,False,0.0,Neutral-Fallback,Neutral-Fallback,Neutral-Fallback
188,1,False,1.0,Casual-Adult,Casual-Adult,Casual-Adult
189,1,False,1.0,Neutral-Fallback,Teen/Sportswear,Neutral-Fallback
190,1,False,0.0,Neutral-Fallback,Neutral-Fallback,Neutral-Fallback
191,1,False,0.0,Neutral-Fallback,Neutral-Fallback,Neutral-Fallback
192,1,False,1.0,Casual-Adult,Casual-Adult,Casual-Adult
193,1,False,1.0,Casual-Adult,Casual-Adult,Casual-Adult
194,1,False,1.0,Casual-Adult,Casual-Adult,Casual-Adult
195,1,False,0.0,Neutral-Fallback,Neutral-Fallback,Neutral-Fallback
196,1,False,1.0,Neutral-Fallback,Teen/Sportswear,Neutral-Fallback
197,1,False,1.0,Neutral-Fallback,Formal-Adult,Neutral-Fallback
198,1,False,0.0,Neutral-Fallback,Neutral-Fallback,Neutral-Fallback
199,2,False,1.0,Neutral-Fallback,Neutral-Fallback,Neutral-Fallback
200,1,False,0.0,Neutral-Fallback,Neutral-Fallback,Neutral-Fallback
201,1,False,1.0,Casual-Adult,Casual-Adult,Casual-Adult
202,1,False,0.0,Neutral-Fallback,Neutral-Fallback,Neutral-Fallback
203,1,False,1.0,Neutral-Fallback,Teen/Sportswear,Neutral-Fallback
204,1,False,1.0,Casual-Adult,Casual-Adult,Casual-Adult
205,1,False,1.0,Casual-Adult,Casual-Adult,Casual-Adult
206,1,False,0.0,Neutral-Fallback,Neutral-Fallback,Neutral-Fallback
207,1,False,1.0,Casual-Adult,Casual-Adult,Casual-Adult
208,1,False,0.0,Neutral-Fallback,Neutral-Fallback,Neutral-Fallback
209,1,False,1.0,Casual-Adult,Casual-Adult,Casual-Adult
210,1,False,0.0,Neutral-Fallback,Neutral-Fallback,Neutral-Fallback
211,1,False,0.0,Neutral-Fallback,Neutral-Fallback,Neutral-Fallback
212,1,False,0.0,Neutral-Fallback,Neutral-Fallback,Neutral-Fallback
213,1,False,0.0,Neutral-Fallback,Neutral-Fallback,Neutral-Fallback
214,1,False,0.0,Neutral-Fallback,Neutral-Fallback,Neutral-Fallback
215,1,False,1.0,Neutral-Fallback,Teen/Sportswear,Neutral-Fallback
216,1,False,0.0,Neutral-Fallback,Neutral-Fallback,Neutral-Fallback
217,1,False,0.0,Neutral-Fallback,Neutral-Fallback,Neutral-Fallback
218,1,False,0.0,Neutral-Fallback,Neutral-Fallback,Neutral-Fallback
219,1,False,0.0,Neutral-Fallback,Neutral-Fallback,Neutral-Fallback
220,1,False,1.0,Casual-Adult,Casual-Adult,Casual-Adult
221,1,False,1.0,Casual-Adult,Casual-Adult,Casual-Adult
222,2,False,1.0,Neutral-Fallback,Neutral-Fallback,Neutral-Fallback
223,1,False,0.0,Neutral-Fallback,Neutral-Fallback,Neutral-Fallback
224,2,False,1.0,Neutral-Fallback,Neutral-Fallback,Neutral-Fallback
225,1,False,0.0,Neutral-Fallback,Neutral-Fallback,Neutral-Fallback
226,1,False,1.0,Casual-Adult,Casual-Adult,Casual-Adult
227,3,False,1.0,Casual-Adult,Casual-Adult,Casual-Adult
228,3,False,1.0,Casual-Adult,Casual-Adult,Neutral-Fallback
229,1,False,1.0,Casual-Adult,Teen/Sportswear,Casual-Adult
230,1,False,1.0,Neutral-Fallback,Teen/Sportswear,Neutral-Fallback
231,1,False,0.0,Neutral-Fallback,Neutral-Fallback,Neutral-Fallback
232,1,False,1.0,Casual-Adult,Casual-Adult,Casual-Adult
233,1,False,1.0,Casual-Adult,Casual-Adult,Casual-Adult
234,1,False,0.0,Neutral-Fallback,Neutral-Fallback,Neutral-Fallback
235,1,False,0.0,Neutral-Fallback,Neutral-Fallback,Neutral-Fallback
236,1,False,0.0,Neutral-Fallback,Neutral-Fallback,Neutral-Fallback
237,1,False,1.0,Casual-Adult,Casual-Adult,Casual-Adult
238,1,False,1.0,Neutral-Fallback,Teen/Sportswear,Neutral-Fallback
239,1,False,0.0,Neutral-Fallback,Neutral-Fallback,Neutral-Fallback
240,1,False,1.0,Neutral-Fallback,Formal-Adult,Casual-Adult
241,1,False,1.0,Neutral-Fallback,Teen/Sportswear,Neutral-Fallback
242,1,False,1.0,Casual-Adult,Casual-Adult,Casual-Adult
243,1,True,1.0,Neutral-Fallback,Family/Child-safe,Family/Child-safe
244,5,False,1.0,Neutral-Fallback,Teen/Sportswear,Neutral-Fallback
245,1,False,0.0,Neutral-Fallback,Neutral-Fallback,Neutral-Fallback
246,1,False,0.0,Neutral-Fallback,Neutral-Fallback,Neutral-Fallback
247,1,False,0.0,Neutral-Fallback,Neutral-Fallback,Neutral-Fallback
248,1,False,1.0,Casual-Adult,Casual-Adult,Casual-Adult
249,1,False,1.0,Neutral-Fallback,Teen/Sportswear,Neutral-Fallback
250,1,False,1.0,Casual-Adult,Casual-Adult,Casual-Adult
251,1,False,1.0,Casual-Adult,Casual-Adult,Casual-Adult
252,1,True,1.0,Neutral-Fallback,Family/Child-safe,Family/Child-safe
253,1,False,0.0,Neutral-Fallback,Neutral-Fallback,Neutral-Fallback
254,1,False,1.0,Casual-Adult,Casual-Adult,Casual-Adult
255,1,False,1.0,Casual-Adult,Casual-Adult,Casual-Adult
256,1,False,1.0,Neutral-Fallback,Teen/Sportswear,Neutral-Fallback
257,1,False,0.0,Neutral-Fallback,Neutral-Fallback,Neutral-Fallback
258,1,False,1.0,Casual-Adult,Casual-Adult,Casual-Adult
259,1,False,1.0,Casual-Adult,Casual-Adult,Casual-Adult
260,1,True,1.0,Neutral-Fallback,Family/Child-safe,Family/Child-safe
261,2,False,1.0,Casual-Adult,Casual-Adult,Casual-Adult
262,1,False,1.0,Casual-Adult,Casual-Adult,Casual-Adult
263,1,False,0.0,Neutral-Fallback,Neutral-Fallback,Neutral-Fallback
264,2,False,1.0,Casual-Adult,Casual-Adult,Casual-Adult
265,1,False,1.0,Casual-Adult,Casual-Adult,Casual-Adult
266,1,False,0.0,Neutral-Fallback,Neutral-Fallback,Neutral-Fallback
267,1,False,1.0,Casual-Adult,Casual-Adult,Casual-Adult
268,1,False,0.0,Neutral-Fallback,Neutral-Fallback,Neutral-Fallback
269,1,False,1.0,Neutral-Fallback,Teen/Sportswear,Neutral-Fallback
270,1,False,0.0,Neutral-Fallback,Neutral-Fallback,Neutral-Fallback
271,1,False,1.0,Casual-Adult,Casual-Adult,Casual-Adult
272,1,False,1.0,Casual-Adult,Casual-Adult,Casual-Adult
273,2,False,1.0,Neutral-Fallback,Neutral-Fallback,Neutral-Fallback
274,2,False,1.0,Neutral-Fallback,Teen/Sportswear,Neutral-Fallback
275,1,False,1.0,Casual-Adult,Casual-Adult,Casual-Adult
276,1,False,0.0,Neutral-Fallback,Neutral-Fallback,Neutral-Fallback
277,1,False,1.0,Casual-Adult,Casual-Adult,Casual-Adult
278,1,False,1.0,Casual-Adult,Casual-Adult,Casual-Adult
279,1,False,0.0,Neutral-Fallback,Neutral-Fallback,Neutral-Fallback
280,1,False,0.0,Neutral-Fallback,Neutral-Fallback,Neutral-Fallback
281,1,False,0.0,Neutral-Fallback,Neutral-Fallback,Neutral-Fallback
282,1,False,1.0,Neutral-Fallback,Teen/Sportswear,Neutral-Fallback
283,1,False,0.0,Neutral-Fallback,Neutral-Fallback,Neutral-Fallback
284,1,False,0.0,Neutral-Fallback,Neutral-Fallback,Neutral-Fallback
285,1,False,1.0,Casual-Adult,Casual-Adult,Casual-Adult
